Price,Open,High,Low,Close,Volume,Adj Close
Ticker,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,
Date,,,,,,
2025-07-04,8382.0,8450.0,8364.5,8433.0,183720,8433.0
2025-07-07,8433.0,8484.0,8404.0,8463.5,123117,8463.5
2025-07-08,8463.0,8474.0,8291.0,8339.5,253579,8339.5
2025-07-09,8350.0,8376.0,8310.5,8361.0,157280,8361.0
2025-07-10,8394.0,8394.0,8268.0,8285.0,229552,8285.0
2025-07-11,8285.5,8300.0,8045.5,8067.0,539579,8067.0
2025-07-14,8090.0,8120.0,8035.5,8087.5,248351,8087.5
2025-07-15,8128.0,8326.0,8090.0,8311.0,366546,8311.0
2025-07-16,8311.0,8345.0,8184.5,8302.5,275493,8302.5
2025-07-17,8278.5,8355.0,8262.5,8330.0,249880,8330.0
2025-07-18,8305.0,8365.0,8305.0,8347.5,268313,8347.5
2025-07-21,8306.0,8450.0,8306.0,8438.5,253964,8438.5
2025-07-22,8470.0,8470.0,8277.0,8295.0,302466,8295.0
2025-07-23,8313.5,8405.0,8290.5,8397.0,194644,8397.0
2025-07-24,8409.5,8435.0,8276.0,8288.5,298692,8288.5
2025-07-25,8275.0,8280.0,8044.5,8075.5,554118,8075.5
2025-07-28,8075.5,8158.0,8075.0,8089.5,232171,8089.5
2025-07-29,8089.5,8146.0,8056.0,8127.5,209998,8127.5
2025-07-30,8090.5,8132.5,8025.0,8043.5,222804,8043.5
2025-07-31,7990.0,8094.0,7930.5,8008.0,297025,8008.0
2025-08-01,8008.0,8091.0,7951.5,8044.5,329818,8044.5
2025-08-04,8044.5,8205.0,8044.5,8187.5,221221,8187.5
2025-08-05,8176.0,8236.5,8130.0,8230.5,194083,8230.5
2025-08-06,8269.0,8269.0,8120.0,8178.5,515934,8178.5
2025-08-07,8070.0,8249.0,7858.5,8229.0,456168,8229.0
2025-08-08,8229.0,8277.0,8185.0,8224.0,282679,8224.0
2025-08-11,8235.0,8300.0,8132.5,8275.0,180274,8275.0
2025-08-12,8275.5,8321.5,8180.0,8196.5,184529,8196.5
2025-08-13,8214.5,8309.5,8189.0,8248.5,367519,8248.5
2025-08-14,8250.0,8280.0,8198.0,8213.5,364270,8213.5
